n_train_variants,n_train_traces,n_test_cases,alpha,strategy,sktr_acc,sktr_edit,sktr_f1@10,sktr_f1@25,sktr_f1@50,argmax_acc,argmax_edit,argmax_f1@10,argmax_f1@25,argmax_f1@50,total_time_sec,avg_time_per_trace_sec,avg_rank
28,28,28,0.95,trigram_heavy,76.57646116893515,73.94773453621049,78.5308356617854,74.09747604373295,57.235790130770184,76.74619695756604,75.29234022160634,77.39109788590402,72.13786438031043,55.19492919433703,1187.58,42.414,2.0
28,28,28,0.95,unigram_super_heavy,76.57005604483587,73.94773453621049,78.5308356617854,74.09747604373295,57.11263742141058,76.74619695756604,75.29234022160634,77.39109788590402,72.13786438031043,55.19492919433703,958.35,34.227,2.3333333333333335
28,28,28,0.95,balanced,76.56365092073659,73.94773453621049,78.5308356617854,74.09747604373295,57.11263742141058,76.74619695756604,75.29234022160634,77.39109788590402,72.13786438031043,55.19492919433703,875.34,31.262,2.6666666666666665
28,28,28,0.9,trigram_heavy,76.54443554843876,73.85120943968539,78.48937288062409,73.88790534425895,56.72929282059336,76.74619695756604,75.29234022160634,77.39109788590402,72.13786438031043,55.19492919433703,851.19,30.4,5.5
28,28,28,0.95,bigram_heavy,76.54443554843876,73.94773453621049,78.5308356617854,74.09747604373295,56.82919070939244,76.74619695756604,75.29234022160634,77.39109788590402,72.13786438031043,55.19492919433703,949.94,33.927,3.1666666666666665
28,28,28,0.9,bigram_heavy,76.5316253002402,73.62799515397111,78.1881077384309,73.74500850783615,56.9379625917147,76.74619695756604,75.29234022160634,77.39109788590402,72.13786438031043,55.19492919433703,905.04,32.323,8.0
28,28,28,0.9,balanced,76.51881505204163,73.62799515397111,78.1881077384309,73.74500850783615,56.9379625917147,76.74619695756604,75.29234022160634,77.39109788590402,72.13786438031043,55.19492919433703,920.16,32.863,8.333333333333334
28,28,28,0.9,unigram_super_heavy,76.51240992794234,73.85120943968539,78.32703521828641,73.88790534425895,56.85460610380138,76.74619695756604,75.29234022160634,77.39109788590402,72.13786438031043,55.19492919433703,988.38,35.299,6.666666666666667
28,28,28,0.7,trigram_heavy,76.4835868694956,73.57697474580785,78.4928994439038,73.92542191452144,57.13626282464627,76.74619695756604,75.29234022160634,77.39109788590402,72.13786438031043,55.19492919433703,851.54,30.412,7.666666666666667
28,28,28,0.7,bigram_heavy,76.435548438751,72.15918203337228,77.52815519853336,72.94359355662006,56.38903433220537,76.74619695756604,75.29234022160634,77.39109788590402,72.13786438031043,55.19492919433703,928.83,33.173,12.333333333333334
28,28,28,0.7,unigram_super_heavy,76.40032025620496,73.52595433764456,78.27225979604044,73.75217363728677,56.91131755524834,76.74619695756604,75.29234022160634,77.39109788590402,72.13786438031043,55.19492919433703,1219.83,43.565,10.0
28,28,28,0.7,balanced,76.39711769415533,73.52595433764456,78.43459745837811,73.75217363728677,56.672625587233064,76.74619695756604,75.29234022160634,77.39109788590402,72.13786438031043,55.19492919433703,1011.81,36.136,10.333333333333334
28,28,28,0.5,trigram_heavy,76.18895116092874,71.98766636124753,77.26666373942271,73.04181265154565,56.00919996487577,76.74619695756604,75.29234022160634,77.39109788590402,72.13786438031043,55.19492919433703,865.45,30.909,13.333333333333334
28,28,28,0.5,unigram_super_heavy,76.14411529223378,72.41785256743164,76.96095903693177,73.28997620789174,56.456398015797674,76.74619695756604,75.29234022160634,77.39109788590402,72.13786438031043,55.19492919433703,1334.0,47.643,12.666666666666666
28,28,28,0.5,balanced,76.1056845476381,71.29297972542717,76.6576482892636,72.65616820518235,55.47312655903483,76.74619695756604,75.29234022160634,77.39109788590402,72.13786438031043,55.19492919433703,1104.13,39.433,15.0
28,28,28,0.5,bigram_heavy,75.94555644515613,69.92018336758906,75.83514691817278,72.00640061449312,54.83182698130638,76.74619695756604,75.29234022160634,77.39109788590402,72.13786438031043,55.19492919433703,978.27,34.938,16.666666666666668
28,28,28,0.3,trigram_heavy,75.66373098478782,70.3996254316206,76.14777989800322,72.27472664052503,54.89732754521502,76.74619695756604,75.29234022160634,77.39109788590402,72.13786438031043,55.19492919433703,793.42,28.336,16.333333333333332
28,28,28,0.3,balanced,75.5804643714972,68.96040261233243,75.38466685083482,71.68730445317127,54.63416016800288,76.74619695756604,75.29234022160634,77.39109788590402,72.13786438031043,55.19492919433703,1066.2,38.079,18.333333333333332
28,28,28,0.3,unigram_super_heavy,75.4107285828663,69.45721739000783,75.1204136723547,71.40923883162458,54.09005798226492,76.74619695756604,75.29234022160634,77.39109788590402,72.13786438031043,55.19492919433703,1432.89,51.175,19.0
28,28,28,0.3,bigram_heavy,75.28903122497998,68.22311518762847,74.88290015964125,71.619641234234,53.987665420955004,76.74619695756604,75.29234022160634,77.39109788590402,72.13786438031043,55.19492919433703,937.68,33.488,20.0
28,28,28,0.1,unigram_super_heavy,73.54683746997598,67.0347243502061,73.62565605519933,69.51150305884457,50.974297985621114,76.74619695756604,75.29234022160634,77.39109788590402,72.13786438031043,55.19492919433703,1543.47,55.124,22.333333333333332
28,28,28,0.1,balanced,73.53722978382706,66.53532611469761,73.64580292243423,69.35479915902225,50.70617305818604,76.74619695756604,75.29234022160634,77.39109788590402,72.13786438031043,55.19492919433703,1200.12,42.861,23.666666666666668
28,28,28,0.1,trigram_heavy,73.45076060848679,68.90941978787941,74.80030116462815,69.97172219288025,51.08607121233932,76.74619695756604,75.29234022160634,77.39109788590402,72.13786438031043,55.19492919433703,760.39,27.157,21.333333333333332
28,28,28,0.1,bigram_heavy,73.39951961569255,67.25363216532996,73.17435053188896,69.26506132868785,50.66320376833195,76.74619695756604,75.29234022160634,77.39109788590402,72.13786438031043,55.19492919433703,981.01,35.036,23.333333333333332
28,28,28,0.05,balanced,73.24579663730985,66.00552686894956,73.40015623468003,68.35429805056113,50.2768587749123,76.74619695756604,75.29234022160634,77.39109788590402,72.13786438031043,55.19492919433703,1185.68,42.346,27.0
28,28,28,0.05,unigram_super_heavy,73.22658126501202,67.1272230492959,73.85894034892326,69.04878985147026,50.432144147881054,76.74619695756604,75.29234022160634,77.39109788590402,72.13786438031043,55.19492919433703,1664.03,59.43,24.666666666666668
28,28,28,0.05,bigram_heavy,73.07926341072857,66.47692926785756,73.15038947994468,68.75390206033005,49.85902904430092,76.74619695756604,75.29234022160634,77.39109788590402,72.13786438031043,55.19492919433703,967.12,34.54,27.0
28,28,28,0.05,trigram_heavy,72.7173738991193,66.62967015179096,73.35301560236756,69.00474035283763,48.50668654891827,76.74619695756604,75.29234022160634,77.39109788590402,72.13786438031043,55.19492919433703,825.95,29.498,26.333333333333332
